,name,time,h,valid,optimal,rotation,sorting,search_goal,search_type
0,ins-01,0.00028,8,True,True,basic,area,min,board
1,ins-02,0.00051,9,True,True,basic,area,min,board
2,ins-03,0.00085,10,True,True,basic,area,min,board
3,ins-04,0.00112,11,True,True,basic,area,min,board
4,ins-05,0.00194,12,True,True,basic,area,min,board
5,ins-06,0.00362,13,True,True,basic,area,min,board
6,ins-07,0.0043,14,True,True,basic,area,min,board
7,ins-08,0.00362,15,True,True,basic,area,min,board
8,ins-09,0.00594,16,True,True,basic,area,min,board
9,ins-10,0.05136,17,True,True,basic,area,min,board
10,ins-11,10.0002,56,True,False,basic,area,min,board
11,ins-12,0.42171,19,True,True,basic,area,min,board
12,ins-13,0.0838,20,True,True,basic,area,min,board
13,ins-14,1.48368,21,True,True,basic,area,min,board
14,ins-15,1.11562,22,True,True,basic,area,min,board
15,ins-16,10.0002,96,True,False,basic,area,min,board
16,ins-17,10.0002,100,True,False,basic,area,min,board
17,ins-18,10.0002,105,True,False,basic,area,min,board
18,ins-19,10.0002,117,True,False,basic,area,min,board
19,ins-20,10.0002,124,True,False,basic,area,min,board
20,ins-21,10.0002,139,True,False,basic,area,min,board
21,ins-22,10.0002,114,True,False,basic,area,min,board
22,ins-23,10.0002,97,True,False,basic,area,min,board
23,ins-24,10.0002,135,True,False,basic,area,min,board
24,ins-25,10.0002,172,True,False,basic,area,min,board
25,ins-26,10.0,None,False,False,basic,area,min,board
26,ins-27,10.0002,168,True,False,basic,area,min,board
27,ins-28,10.0002,136,True,False,basic,area,min,board
28,ins-29,10.0,None,False,False,basic,area,min,board
29,ins-30,10.0,None,False,False,basic,area,min,board
0,ins-01,0.00022,8,True,True,basic,area,min,h
1,ins-02,0.00018,9,True,True,basic,area,min,h
2,ins-03,0.00021,10,True,True,basic,area,min,h
3,ins-04,0.00034,11,True,True,basic,area,min,h
4,ins-05,0.00055,12,True,True,basic,area,min,h
5,ins-06,0.00035,13,True,True,basic,area,min,h
6,ins-07,0.00028,14,True,True,basic,area,min,h
7,ins-08,0.00031,15,True,True,basic,area,min,h
8,ins-09,0.00033,16,True,True,basic,area,min,h
9,ins-10,0.00565,17,True,True,basic,area,min,h
10,ins-11,10.0,None,False,False,basic,area,min,h
11,ins-12,0.11136,19,True,True,basic,area,min,h
12,ins-13,0.00072,20,True,True,basic,area,min,h
13,ins-14,0.03076,21,True,True,basic,area,min,h
14,ins-15,0.00056,22,True,True,basic,area,min,h
15,ins-16,8.57538,23,True,True,basic,area,min,h
16,ins-17,0.60179,24,True,True,basic,area,min,h
17,ins-18,0.12145,25,True,True,basic,area,min,h
18,ins-19,10.0,None,False,False,basic,area,min,h
19,ins-20,10.0,None,False,False,basic,area,min,h
20,ins-21,10.0,None,False,False,basic,area,min,h
21,ins-22,10.0,None,False,False,basic,area,min,h
22,ins-23,0.00127,30,True,True,basic,area,min,h
23,ins-24,1.3184,31,True,True,basic,area,min,h
24,ins-25,7.86193,32,True,True,basic,area,min,h
25,ins-26,10.0,None,False,False,basic,area,min,h
26,ins-27,10.0,None,False,False,basic,area,min,h
27,ins-28,10.0,None,False,False,basic,area,min,h
28,ins-29,10.0,None,False,False,basic,area,min,h
29,ins-30,10.0,None,False,False,basic,area,min,h
0,ins-01,0.0003,8,True,True,basic,area,median,board
1,ins-02,0.00056,9,True,True,basic,area,median,board
2,ins-03,0.00093,10,True,True,basic,area,median,board
3,ins-04,0.00133,11,True,True,basic,area,median,board
4,ins-05,0.00221,12,True,True,basic,area,median,board
5,ins-06,0.00343,13,True,True,basic,area,median,board
6,ins-07,0.00452,14,True,True,basic,area,median,board
7,ins-08,0.00394,15,True,True,basic,area,median,board
8,ins-09,0.00561,16,True,True,basic,area,median,board
9,ins-10,0.05201,17,True,True,basic,area,median,board
10,ins-11,10.0002,56,True,False,basic,area,median,board
11,ins-12,0.29877,19,True,True,basic,area,median,board
12,ins-13,0.07674,20,True,True,basic,area,median,board
13,ins-14,1.46531,21,True,True,basic,area,median,board
14,ins-15,1.13533,22,True,True,basic,area,median,board
15,ins-16,10.0002,96,True,False,basic,area,median,board
16,ins-17,10.0002,100,True,False,basic,area,median,board
17,ins-18,10.0002,105,True,False,basic,area,median,board
18,ins-19,10.0002,117,True,False,basic,area,median,board
19,ins-20,10.0002,124,True,False,basic,area,median,board
20,ins-21,10.0002,139,True,False,basic,area,median,board
21,ins-22,10.0002,114,True,False,basic,area,median,board
22,ins-23,10.0002,97,True,False,basic,area,median,board
23,ins-24,10.0002,135,True,False,basic,area,median,board
24,ins-25,10.0002,172,True,False,basic,area,median,board
25,ins-26,10.0,None,False,False,basic,area,median,board
26,ins-27,10.0002,168,True,False,basic,area,median,board
27,ins-28,10.0002,136,True,False,basic,area,median,board
28,ins-29,10.0,None,False,False,basic,area,median,board
29,ins-30,10.0,None,False,False,basic,area,median,board
0,ins-01,0.00023,8,True,True,basic,area,median,h
1,ins-02,0.0003,9,True,True,basic,area,median,h
2,ins-03,0.00051,10,True,True,basic,area,median,h
3,ins-04,0.00064,11,True,True,basic,area,median,h
4,ins-05,0.00094,12,True,True,basic,area,median,h
5,ins-06,0.00107,13,True,True,basic,area,median,h
6,ins-07,0.00087,14,True,True,basic,area,median,h
7,ins-08,0.00101,15,True,True,basic,area,median,h
8,ins-09,0.00136,16,True,True,basic,area,median,h
9,ins-10,0.00587,17,True,True,basic,area,median,h
10,ins-11,10.0003,19,True,False,basic,area,median,h
11,ins-12,0.11957,19,True,True,basic,area,median,h
12,ins-13,0.00355,20,True,True,basic,area,median,h
13,ins-14,0.03484,21,True,True,basic,area,median,h
14,ins-15,0.00359,22,True,True,basic,area,median,h
15,ins-16,8.40288,23,True,True,basic,area,median,h
16,ins-17,1.0719,24,True,True,basic,area,median,h
17,ins-18,0.12955,25,True,True,basic,area,median,h
18,ins-19,10.0002,28,True,False,basic,area,median,h
19,ins-20,10.0002,29,True,False,basic,area,median,h
20,ins-21,10.0002,84,True,False,basic,area,median,h
21,ins-22,10.0002,35,True,False,basic,area,median,h
22,ins-23,0.01767,30,True,True,basic,area,median,h
23,ins-24,1.37084,31,True,True,basic,area,median,h
24,ins-25,10.0,None,False,False,basic,area,median,h
25,ins-26,10.0002,34,True,False,basic,area,median,h
26,ins-27,10.0003,35,True,False,basic,area,median,h
27,ins-28,10.0002,37,True,False,basic,area,median,h
28,ins-29,10.0002,39,True,False,basic,area,median,h
29,ins-30,10.0002,38,True,False,basic,area,median,h
0,ins-01,0.00028,8,True,True,basic,none,none,none
1,ins-02,0.00043,9,True,True,basic,none,none,none
2,ins-03,0.00079,10,True,True,basic,none,none,none
3,ins-04,0.00116,11,True,True,basic,none,none,none
4,ins-05,0.00284,12,True,True,basic,none,none,none
5,ins-06,0.00365,13,True,True,basic,none,none,none
6,ins-07,0.02672,14,True,True,basic,none,none,none
7,ins-08,0.0036,15,True,True,basic,none,none,none
8,ins-09,0.01256,16,True,True,basic,none,none,none
9,ins-10,1.0473,17,True,True,basic,none,none,none
10,ins-11,10.0,None,False,False,basic,none,none,none
11,ins-12,10.0002,69,True,False,basic,none,none,none
12,ins-13,10.0,None,False,False,basic,none,none,none
13,ins-14,6.46576,21,True,True,basic,none,none,none
14,ins-15,3.31147,22,True,True,basic,none,none,none
15,ins-16,10.0,None,False,False,basic,none,none,none
16,ins-17,10.0002,105,True,False,basic,none,none,none
17,ins-18,10.0002,115,True,False,basic,none,none,none
18,ins-19,10.0,None,False,False,basic,none,none,none
19,ins-20,10.0002,135,True,False,basic,none,none,none
20,ins-21,10.0,None,False,False,basic,none,none,none
21,ins-22,10.0,None,False,False,basic,none,none,none
22,ins-23,10.0,None,False,False,basic,none,none,none
23,ins-24,10.0,None,False,False,basic,none,none,none
24,ins-25,10.0,None,False,False,basic,none,none,none
25,ins-26,10.0,None,False,False,basic,none,none,none
26,ins-27,10.0,None,False,False,basic,none,none,none
27,ins-28,10.0,None,False,False,basic,none,none,none
28,ins-29,10.0,None,False,False,basic,none,none,none
29,ins-30,10.0,None,False,False,basic,none,none,none
0,ins-01,0.00031,8,True,True,basic,height,min,board
1,ins-02,0.00051,9,True,True,basic,height,min,board
2,ins-03,0.00073,10,True,True,basic,height,min,board
3,ins-04,0.00077,11,True,True,basic,height,min,board
4,ins-05,0.00189,12,True,True,basic,height,min,board
5,ins-06,0.00214,13,True,True,basic,height,min,board
6,ins-07,0.00415,14,True,True,basic,height,min,board
7,ins-08,0.00398,15,True,True,basic,height,min,board
8,ins-09,0.00469,16,True,True,basic,height,min,board
9,ins-10,0.01886,17,True,True,basic,height,min,board
10,ins-11,0.51214,18,True,True,basic,height,min,board
11,ins-12,0.10148,19,True,True,basic,height,min,board
12,ins-13,8.82715,20,True,True,basic,height,min,board
13,ins-14,3.29772,21,True,True,basic,height,min,board
14,ins-15,3.92449,22,True,True,basic,height,min,board
15,ins-16,1.04807,23,True,True,basic,height,min,board
16,ins-17,4.63115,24,True,True,basic,height,min,board
17,ins-18,0.25378,25,True,True,basic,height,min,board
18,ins-19,10.0002,27,True,False,basic,height,min,board
19,ins-20,10.0002,106,True,False,basic,height,min,board
20,ins-21,10.0002,136,True,False,basic,height,min,board
21,ins-22,10.0,None,False,False,basic,height,min,board
22,ins-23,8.11567,30,True,True,basic,height,min,board
23,ins-24,10.0002,118,True,False,basic,height,min,board
24,ins-25,10.0002,119,True,False,basic,height,min,board
25,ins-26,10.0002,169,True,False,basic,height,min,board
26,ins-27,10.0002,142,True,False,basic,height,min,board
27,ins-28,10.0002,136,True,False,basic,height,min,board
28,ins-29,10.0,None,False,False,basic,height,min,board
29,ins-30,10.0002,178,True,False,basic,height,min,board
0,ins-01,0.00017,8,True,True,basic,height,min,h
1,ins-02,0.00018,9,True,True,basic,height,min,h
2,ins-03,0.00021,10,True,True,basic,height,min,h
3,ins-04,0.00022,11,True,True,basic,height,min,h
4,ins-05,0.00056,12,True,True,basic,height,min,h
5,ins-06,0.00028,13,True,True,basic,height,min,h
6,ins-07,0.00028,14,True,True,basic,height,min,h
7,ins-08,0.00031,15,True,True,basic,height,min,h
8,ins-09,0.00033,16,True,True,basic,height,min,h
9,ins-10,0.00142,17,True,True,basic,height,min,h
10,ins-11,0.37643,18,True,True,basic,height,min,h
11,ins-12,0.00057,19,True,True,basic,height,min,h
12,ins-13,0.00072,20,True,True,basic,height,min,h
13,ins-14,0.07848,21,True,True,basic,height,min,h
14,ins-15,0.00057,22,True,True,basic,height,min,h
15,ins-16,0.02076,23,True,True,basic,height,min,h
16,ins-17,0.02212,24,True,True,basic,height,min,h
17,ins-18,0.06244,25,True,True,basic,height,min,h
18,ins-19,10.0,None,False,False,basic,height,min,h
19,ins-20,10.0,None,False,False,basic,height,min,h
20,ins-21,10.0,None,False,False,basic,height,min,h
21,ins-22,10.0,None,False,False,basic,height,min,h
22,ins-23,0.00124,30,True,True,basic,height,min,h
23,ins-24,0.00155,31,True,True,basic,height,min,h
24,ins-25,10.0,None,False,False,basic,height,min,h
25,ins-26,10.0,None,False,False,basic,height,min,h
26,ins-27,0.04407,34,True,True,basic,height,min,h
27,ins-28,10.0,None,False,False,basic,height,min,h
28,ins-29,10.0,None,False,False,basic,height,min,h
29,ins-30,10.0,None,False,False,basic,height,min,h
0,ins-01,0.00033,8,True,True,basic,height,median,board
1,ins-02,0.00057,9,True,True,basic,height,median,board
2,ins-03,0.00135,10,True,True,basic,height,median,board
3,ins-04,0.0009,11,True,True,basic,height,median,board
4,ins-05,0.00216,12,True,True,basic,height,median,board
5,ins-06,0.00223,13,True,True,basic,height,median,board
6,ins-07,0.00428,14,True,True,basic,height,median,board
7,ins-08,0.0041,15,True,True,basic,height,median,board
8,ins-09,0.00514,16,True,True,basic,height,median,board
9,ins-10,0.01922,17,True,True,basic,height,median,board
10,ins-11,0.53249,18,True,True,basic,height,median,board
11,ins-12,0.10946,19,True,True,basic,height,median,board
12,ins-13,9.54717,20,True,True,basic,height,median,board
13,ins-14,3.29905,21,True,True,basic,height,median,board
14,ins-15,3.94464,22,True,True,basic,height,median,board
15,ins-16,1.43055,23,True,True,basic,height,median,board
16,ins-17,4.66952,24,True,True,basic,height,median,board
17,ins-18,0.25599,25,True,True,basic,height,median,board
18,ins-19,10.0002,27,True,False,basic,height,median,board
19,ins-20,10.0002,107,True,False,basic,height,median,board
20,ins-21,10.0002,136,True,False,basic,height,median,board
21,ins-22,10.0,None,False,False,basic,height,median,board
22,ins-23,8.12992,30,True,True,basic,height,median,board
23,ins-24,10.0002,118,True,False,basic,height,median,board
24,ins-25,10.0002,119,True,False,basic,height,median,board
25,ins-26,10.0002,169,True,False,basic,height,median,board
26,ins-27,10.0002,142,True,False,basic,height,median,board
27,ins-28,10.0002,136,True,False,basic,height,median,board
28,ins-29,10.0,None,False,False,basic,height,median,board
29,ins-30,10.0002,178,True,False,basic,height,median,board
0,ins-01,0.00025,8,True,True,basic,height,median,h
1,ins-02,0.0003,9,True,True,basic,height,median,h
2,ins-03,0.00043,10,True,True,basic,height,median,h
3,ins-04,0.00045,11,True,True,basic,height,median,h
4,ins-05,0.00085,12,True,True,basic,height,median,h
5,ins-06,0.00068,13,True,True,basic,height,median,h
6,ins-07,0.00081,14,True,True,basic,height,median,h
7,ins-08,0.00091,15,True,True,basic,height,median,h
8,ins-09,0.00105,16,True,True,basic,height,median,h
9,ins-10,0.00302,17,True,True,basic,height,median,h
10,ins-11,0.41628,18,True,True,basic,height,median,h
11,ins-12,0.00185,19,True,True,basic,height,median,h
12,ins-13,0.00306,20,True,True,basic,height,median,h
13,ins-14,0.09451,21,True,True,basic,height,median,h
14,ins-15,0.00335,22,True,True,basic,height,median,h
15,ins-16,0.08447,23,True,True,basic,height,median,h
16,ins-17,4.85286,24,True,True,basic,height,median,h
17,ins-18,0.06571,25,True,True,basic,height,median,h
18,ins-19,10.0002,28,True,False,basic,height,median,h
19,ins-20,10.0002,29,True,False,basic,height,median,h
20,ins-21,10.0002,30,True,False,basic,height,median,h
21,ins-22,10.0002,31,True,False,basic,height,median,h
22,ins-23,0.00554,30,True,True,basic,height,median,h
23,ins-24,0.02783,31,True,True,basic,height,median,h
24,ins-25,10.0002,33,True,False,basic,height,median,h
25,ins-26,10.0002,34,True,False,basic,height,median,h
26,ins-27,10.0002,41,True,False,basic,height,median,h
27,ins-28,10.0002,37,True,False,basic,height,median,h
28,ins-29,10.0002,71,True,False,basic,height,median,h
29,ins-30,10.0002,38,True,False,basic,height,median,h
0,ins-01,0.00027,13,True,False,rotation,area,min,board
1,ins-02,0.00035,18,True,False,rotation,area,min,board
2,ins-03,0.00042,21,True,False,rotation,area,min,board
3,ins-04,0.00076,20,True,False,rotation,area,min,board
4,ins-05,0.00067,27,True,False,rotation,area,min,board
5,ins-06,0.0007,27,True,False,rotation,area,min,board
6,ins-07,0.00077,33,True,False,rotation,area,min,board
